StudentID,Name,Course1,Grade1,Unit1,Course2,Grade2,Unit2,Course3,Grade3,Unit3
STU001,Ibrahim Ali,MTH101,98,3,PHY101,88,4,CHM101,79,3
STU002,Chidi Doe,MTH101,40,4,PHY101,41,2,CHM101,47,2
STU003,Ibrahim Ali,MTH101,83,3,PHY101,30,2,CHM101,43,3
STU004,Linda Okoro,MTH101,35,4,PHY101,58,4,CHM101,88,3
STU005,Ibrahim Okoro,MTH101,77,4,PHY101,59,2,CHM101,58,3
STU006,Jane Smith,MTH101,41,2,PHY101,97,4,CHM101,96,2
STU007,Jane Smith,MTH101,55,4,PHY101,97,2,CHM101,66,4
STU008,Grace Eze,MTH101,95,2,PHY101,51,4,CHM101,53,4
STU009,Peter Bello,MTH101,95,2,PHY101,46,4,CHM101,79,4
STU010,Faith Eze,MTH101,63,4,PHY101,67,4,CHM101,32,4
STU011,Linda Bello,MTH101,63,2,PHY101,49,3,CHM101,83,2
STU012,Ibrahim Obi,MTH101,45,2,PHY101,75,3,CHM101,35,4
STU013,Faith Eze,MTH101,92,4,PHY101,97,3,CHM101,53,3
STU014,Ibrahim Adams,MTH101,69,3,PHY101,40,3,CHM101,63,3
STU015,John Ali,MTH101,84,2,PHY101,60,2,CHM101,95,3
STU016,Chidi Ojo,MTH101,71,4,PHY101,96,3,CHM101,61,4
STU017,Amina Ali,MTH101,32,3,PHY101,89,2,CHM101,73,2
STU018,Chidi Ojo,MTH101,98,2,PHY101,76,2,CHM101,56,4
STU019,Peter Balogun,MTH101,96,2,PHY101,73,2,CHM101,30,2
STU020,Grace Doe,MTH101,76,3,PHY101,87,3,CHM101,66,4
STU021,Linda Ojo,MTH101,68,2,PHY101,37,3,CHM101,67,4
STU022,Ibrahim Okoro,MTH101,42,4,PHY101,81,4,CHM101,86,2
STU023,Daniel Okoro,MTH101,67,2,PHY101,76,3,CHM101,64,4
STU024,Ibrahim Obi,MTH101,83,4,PHY101,41,2,CHM101,38,4
STU025,Grace Bello,MTH101,64,3,PHY101,64,2,CHM101,95,4
STU026,Jane Balogun,MTH101,34,3,PHY101,84,2,CHM101,46,3
STU027,Chidi Bello,MTH101,78,4,PHY101,91,4,CHM101,90,2
STU028,Linda Balogun,MTH101,64,2,PHY101,66,3,CHM101,38,2
STU029,John Obi,MTH101,75,3,PHY101,39,4,CHM101,55,2
STU030,Chidi Smith,MTH101,47,2,PHY101,70,2,CHM101,81,2
STU031,Daniel Bello,MTH101,49,2,PHY101,65,2,CHM101,62,3
STU032,Chidi Eze,MTH101,33,4,PHY101,78,3,CHM101,84,3
STU033,Amina Ali,MTH101,50,4,PHY101,39,3,CHM101,77,4
STU034,Peter Ali,MTH101,39,2,PHY101,96,3,CHM101,69,3
STU035,Linda Ojo,MTH101,81,2,PHY101,46,4,CHM101,90,2
STU036,Faith Ali,MTH101,60,2,PHY101,44,4,CHM101,98,2
STU037,Jane Okoro,MTH101,64,3,PHY101,49,3,CHM101,40,4
STU038,Chidi Balogun,MTH101,66,4,PHY101,51,2,CHM101,45,2
STU039,Ibrahim Adams,MTH101,45,2,PHY101,90,4,CHM101,79,4
STU040,Amina Ali,MTH101,56,3,PHY101,34,2,CHM101,88,4
